trade_date,open,high,low,close,pct_chg,vol,amount,adj_factor,open_qfq,close_qfq,high_qfq,low_qfq,open_hfq,close_hfq,high_hfq,low_hfq
20251225,374.21,374.21,369.12,373.01,-0.69,203431,7559336,1.919400,368.43,367.25,368.43,363.42,375.56,374.36,375.56,370.45
20251226,372.96,378.00,370.10,374.43,0.38,257237,9616116,1.919400,367.20,368.65,372.16,364.39,374.31,375.78,379.36,371.44
20251229,374.00,374.43,368.00,369.31,-1.37,241241,8924503,1.919400,368.23,363.61,368.65,362.32,375.35,370.64,375.78,369.33
20251230,367.10,371.00,366.56,369.20,-0.03,190308,7014016,1.919400,361.43,363.50,365.27,360.90,368.42,370.53,372.34,367.88
20251231,369.79,372.00,367.15,367.26,-0.53,160266,5920432,1.919400,364.08,361.59,366.26,361.48,371.12,368.59,373.34,368.47
20260105,370.00,378.00,368.19,377.50,2.79,336881,12583420,1.919400,364.29,371.67,372.16,362.51,371.33,378.86,379.36,369.52
20260106,380.00,380.50,369.04,373.99,-0.93,341477,12764796,1.919400,374.13,368.22,374.63,363.34,381.37,375.34,381.87,370.37
20260107,372.95,375.48,368.49,371.01,-0.80,262285,9730944,1.919400,367.19,365.28,369.68,362.80,374.30,372.35,376.83,369.82
20260108,368.00,373.33,367.00,369.21,-0.49,269590,9962397,1.919400,362.32,363.51,367.57,361.33,369.33,370.54,374.68,368.32
20260109,369.17,377.63,367.01,369.23,0.01,314772,11681035,1.919400,363.47,363.53,371.80,361.34,370.50,370.56,378.99,368.33
20260112,368.00,368.00,351.66,361.68,-2.04,488307,17505537,1.919400,362.32,356.10,362.32,346.23,369.33,362.98,369.33,352.93
20260113,366.25,367.77,357.00,359.00,-0.74,296709,10745692,1.919400,360.60,353.46,362.09,351.49,367.57,360.30,369.10,358.29
20260114,360.03,361.22,351.71,353.98,-1.40,380834,13553363,1.919400,354.47,348.51,355.64,346.28,361.33,355.26,362.52,352.98
20260115,352.75,358.28,351.80,353.75,-0.07,323709,11474019,1.919400,347.30,348.29,352.75,346.37,354.02,355.03,359.57,353.07
20260116,357.99,361.72,351.51,352.32,-0.40,319818,11350570,1.919400,352.46,346.88,356.14,346.08,359.28,353.59,363.03,352.78
20260119,351.47,355.34,345.33,348.90,-0.97,338643,11842421,1.919400,346.04,343.51,349.85,340.00,352.74,350.16,356.62,346.58
20260120,350.00,356.91,347.90,349.60,0.20,354406,12466609,1.919400,344.60,344.20,351.40,342.53,351.26,350.86,358.20,349.16
20260121,351.94,357.69,349.00,349.81,0.06,393936,13919426,1.919400,346.51,344.41,352.17,343.61,353.21,351.07,358.98,350.26
20260122,351.03,353.73,339.50,345.80,-1.15,459948,15851213,1.919400,345.61,340.46,348.27,334.26,352.30,347.05,355.01,340.72
20260123,348.01,350.00,343.25,347.00,0.35,339761,11775914,1.919400,342.64,341.64,344.60,337.95,349.27,348.25,351.26,344.49
20260126,352.02,352.55,341.21,342.05,-1.43,332914,11468681,1.919400,346.58,336.77,347.11,335.94,353.29,343.28,353.82,342.44
20260127,344.89,344.90,334.02,339.40,-0.77,322949,10953699,1.919400,339.56,334.16,339.57,328.86,346.13,340.62,346.14,335.23
20260128,337.88,344.00,333.01,339.99,0.17,463082,15638344,1.919400,332.66,334.74,338.69,327.87,339.10,341.22,345.24,334.21
20260129,340.50,345.16,338.16,341.89,0.56,338444,11569007,1.919400,335.24,336.61,339.83,332.94,341.73,343.12,346.41,339.38
20260130,348.40,353.76,344.10,350.00,2.37,486501,17048600,1.919400,343.02,344.60,348.30,338.79,349.66,351.26,355.04,345.34
20260202,357.00,357.99,344.13,348.98,-0.29,391917,13766144,1.919400,351.49,343.59,352.46,338.82,358.29,350.24,359.28,345.37
20260203,349.00,352.80,343.50,347.91,-0.31,265163,9220046,1.919400,343.61,342.54,347.35,338.20,350.26,349.17,354.07,344.74
20260204,350.96,366.65,347.51,365.03,4.92,485317,17369398,1.919400,345.54,359.39,360.99,342.14,352.23,366.35,367.97,348.76
20260205,365.77,366.75,356.02,362.94,-0.57,284272,10268243,1.919400,360.12,357.34,361.09,350.52,367.09,364.25,368.07,357.30
20260206,359.32,372.88,358.01,369.11,1.70,393726,14514523,1.919400,353.77,363.41,367.12,352.48,360.62,370.44,374.23,359.30
20260209,370.50,372.50,362.60,368.82,-0.08,274486,10080946,1.919400,364.78,363.13,366.75,357.00,371.84,370.15,373.84,363.91
20260210,365.17,370.80,364.00,364.97,-1.04,185635,6798020,1.919400,359.53,359.33,365.07,358.38,366.49,366.29,372.14,365.31
20260211,366.90,370.99,364.50,368.00,0.83,196535,7239804,1.919400,361.24,362.32,365.26,358.87,368.22,369.33,372.33,365.82
20260212,370.00,377.88,368.03,375.87,2.14,277546,10410892,1.919400,364.29,370.07,372.05,362.35,371.33,377.23,379.24,369.36
20260213,375.61,377.00,365.01,365.34,-2.80,223145,8229701,1.919400,369.81,359.70,371.18,359.37,376.97,366.66,378.36,366.33
20260224,372.64,373.50,361.95,361.95,-0.93,226951,8316535,1.919400,366.89,356.36,367.73,356.36,373.98,363.26,374.85,363.26
20260225,363.69,366.60,360.10,362.18,0.06,187166,6802111,1.919400,358.07,356.59,360.94,354.54,365.00,363.49,367.92,361.40
20260226,356.05,358.20,343.50,346.00,-4.47,435414,15108143,1.919400,350.55,340.66,352.67,338.20,357.33,347.25,359.49,344.74
20260227,347.12,348.94,342.01,342.01,-1.15,254466,8775054,1.919400,341.76,336.73,343.55,336.73,348.37,343.24,350.20,343.24
20260302,341.00,344.90,336.68,340.22,-0.52,283513,9643255,1.919400,335.74,334.97,339.57,331.48,342.23,341.45,346.14,337.89
20260303,346.33,354.35,344.03,344.07,1.13,400075,13919957,1.919400,340.98,338.76,348.88,338.72,347.58,345.31,355.63,345.27
20260304,341.10,342.02,334.20,338.90,-1.50,250804,8468605,1.919400,335.83,333.67,336.74,329.04,342.33,340.12,343.25,335.41
20260305,344.58,353.85,342.66,350.25,3.35,310061,10819502,1.919400,339.26,344.84,348.39,337.37,345.82,351.51,355.13,343.90
20260306,349.00,357.02,344.66,354.77,1.29,209631,7388869,1.919400,343.61,349.29,351.51,339.34,350.26,356.05,358.31,345.90
20260309,348.84,359.85,345.06,357.50,0.77,317976,11217997,1.919400,343.45,351.98,354.29,339.73,350.10,358.79,361.15,346.30
20260310,375.00,379.77,366.50,376.30,5.26,507417,19049081,1.919400,369.21,370.49,373.91,360.84,376.35,377.66,381.14,367.82
20260311,379.58,403.55,378.98,396.80,5.45,575987,22642696,1.919400,373.72,390.67,397.32,373.13,380.95,398.23,405.01,380.35
20260312,400.00,400.90,392.70,395.50,-0.33,291504,11537672,1.919400,393.82,389.39,394.71,386.64,401.44,396.93,402.35,394.12
20260313,393.88,403.99,393.80,397.00,0.38,355826,14201304,1.919400,387.80,390.87,397.75,387.72,395.30,398.43,405.45,395.22
20260316,401.77,413.17,398.00,408.40,2.87,373521,15195015,1.919400,395.57,402.09,406.79,391.85,403.22,409.87,414.66,399.44
20260317,415.78,420.00,404.56,405.00,-0.83,359807,14787231,1.919400,409.36,398.75,413.52,398.31,417.28,406.46,421.52,406.02
20260318,405.36,406.00,396.77,402.02,-0.74,265300,10653634,1.919400,399.10,395.81,399.73,390.64,406.82,403.47,407.46,398.20
20260319,401.94,414.00,400.00,400.50,-0.38,292866,11867381,1.919400,395.73,394.32,407.61,393.82,403.39,401.94,415.49,401.44
20260320,405.08,422.08,400.13,413.00,3.12,537297,22252018,1.919400,398.83,406.62,415.56,393.95,406.54,414.49,423.60,401.57
20260323,417.33,417.36,398.75,401.99,-2.67,446141,18193336,1.919400,410.89,395.78,410.92,392.59,418.84,403.44,418.87,400.19
20260324,405.00,411.90,388.00,396.99,-1.24,364105,14439125,1.919400,398.75,390.86,405.54,382.01,406.46,398.42,413.39,389.40
20260325,393.00,400.50,387.80,397.81,0.21,267528,10553996,1.919400,386.93,391.67,394.32,381.81,394.42,399.25,401.94,389.20
20260326,393.84,413.72,392.00,402.50,1.18,267637,10811440,1.919400,387.76,396.29,407.33,385.95,395.26,403.95,415.21,393.41
20260327,406.12,418.33,401.73,416.18,3.40,302580,12465857,1.919400,399.85,409.75,411.87,395.53,407.59,417.68,419.84,403.18
20260330,413.00,418.85,405.60,413.00,-0.76,253484,10440376,1.919400,406.62,406.62,412.38,399.34,414.49,414.49,420.36,407.06
20260331,413.00,416.95,401.58,401.70,-2.74,249256,10159878,1.919400,406.62,395.50,410.51,395.38,414.49,403.15,418.45,403.03
20260401,409.73,409.87,396.00,405.71,1.00,231701,9384267,1.919400,403.40,399.45,403.54,389.89,411.21,407.17,411.35,397.43
20260402,407.90,411.99,397.20,401.17,-1.12,223056,8988162,1.919400,401.60,394.98,405.63,391.07,409.37,402.62,413.48,398.63
20260403,400.00,400.80,385.13,386.46,-3.67,247515,9640031,1.919400,393.82,380.49,394.61,379.18,401.44,387.85,402.25,386.52
20260407,389.98,393.20,381.49,384.59,-0.48,172576,6675633,1.919400,383.96,378.65,387.13,375.60,391.39,385.98,394.62,382.87
20260408,396.50,397.65,388.22,391.30,1.74,364184,14315333,1.919400,390.38,385.26,391.51,382.23,397.93,392.71,399.08,389.62
20260409,394.10,394.28,386.66,389.99,-0.33,259552,10132745,1.919400,388.02,383.97,388.19,380.69,395.52,391.40,395.70,388.06
20260410,394.00,419.00,392.68,416.00,6.67,507887,20752496,1.919400,387.92,409.58,412.53,386.62,395.42,417.50,420.51,394.10
20260413,418.00,433.33,416.00,427.13,2.68,412399,17625506,1.919400,411.55,420.54,426.64,409.58,419.51,428.67,434.89,417.50
